Year,Q_prev,Q_curr,P_prev,P_curr,Price_Contribution,Price_Effect,CS_Increase,Cumulative_CS,ΔQ,ΔP
2008.0,59827439000.0,57328432000.0,139.6,156.0,-10.581383189340071,26442950659.843163,-1177510337610.7144,-1177510337610.7144,-2499007000.0,16.400000000000006
2009.0,57328432000.0,58128233000.0,156.0,120.2,-61.886742164862774,-49497078270.19941,1180676602463.4304,3166264852.7160645,799801000.0,-35.8
2010.0,58128233000.0,58367886000.0,120.2,133.075,97.74579736440086,23425073575.77076,-900742677206.5232,-897576412353.8071,239653000.0,12.874999999999986
2011.0,58367886000.0,56902522000.0,133.075,145.8,-14.329823280722536,20998407161.932697,-867010336467.7983,-1764586748821.6055,-1465364000.0,12.725000000000023
2012.0,56902522000.0,57099192000.0,145.8,146.925,8.399229891478093,1651876542.7569966,-65055144680.30081,-1829641893501.9062,196670000.0,1.125
2013.0,57099192000.0,55475225000.0,146.925,155.825,-8.013055344127624,13012937448.036905,-558863727293.7628,-2388505620795.669,-1623967000.0,8.899999999999977
2014.0,55475225000.0,53550296000.0,155.825,162.875,-4.9055466562794106,9442829019.525269,-417600933818.8273,-2806106554614.496,-1924929000.0,7.050000000000011
2015.0,53550296000.0,47110000000.0,162.875,137.65,4.844889384069649,-31202521720.666225,876036178098.097,-1930070376516.399,-6440296000.0,-25.224999999999994
2016.0,47110000000.0,52848607000.0,137.65,120.625,-3.8200460438842185,-21921742967.756283,664288805074.4749,-1265781571441.924,5738607000.0,-17.025000000000006
2017.0,52848607000.0,51903928000.0,120.625,133.425,-22.334333606368688,21098775936.930767,-805448389996.3577,-2071229961438.2817,-944679000.0,12.800000000000011
2018.0,51903928000.0,50999119000.0,133.425,149.725,-26.366032260533323,23856223283.620895,-1033088052811.5093,-3104318014249.791,-904809000.0,16.299999999999983
2019.0,50999119000.0,49651370000.0,149.725,146.025,3.518131999910678,-4741558884.747617,177431520713.21637,-2926886493536.5747,-1347749000.0,-3.6999999999999886
2020.0,49651370000.0,40890067000.0,146.025,136.175,1.4382110588899664,-12600602864.88584,383858608115.4371,-2543027885421.1377,-8761303000.0,-9.849999999999994
2021.0,40890067000.0,44767547000.0,136.175,154.825,5.433764100797205,21069311625.559147,-995228581458.3378,-3538256466879.4756,3877480000.0,18.649999999999977
2022.0,44767547000.0,44781215000.0,154.825,170.47500000000002,1245.6116273238529,17025019722.26242,-833939841976.7052,-4372196308856.1807,13668000.0,15.650000000000034
2023.0,44781215000.0,44645283000.0,170.47500000000002,172.725,-16.358634799999905,2223661945.633587,-103106429938.83649,-4475302738795.018,-135932000.0,2.2499999999999716
2024.0,44645283000.0,43826119000.0,172.725,174.975,-2.6710567252853985,2188033511.311688,-101991864950.22565,-4577294603745.243,-819164000.0,2.25
2025.0,43826119000.0,10200713000.0,174.975,184.0,-0.25292266978737016,8504627458.204255,-282173210805.14685,-4859467814550.39,-33625406000.0,9.025000000000006
