実質原系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円)
"Real, Original Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,
10-12.,"124,888.90","66,421.60","65,115.10","55,618.50","7,127.60","19,740.20","3,296.70","19,663.50","13,269.70",228.9,"-2,539.60","12,226.00","14,765.60","-2,319.70",,"4,784.00","129,672.90","1,493.40","2,941.70","1,448.30","131,166.30",,"128,908.70","96,409.40","32,527.60",,"39,426.70",,"121,519.60"
1998/ 1- 3.,"115,554.10","64,187.60","63,493.50","53,967.90","6,559.50","21,204.40","-2,862.80","19,604.70","11,231.10",89.3,"-2,983.70","11,379.50","14,363.20","-1,476.10",,"4,824.40","120,378.50","1,920.30","3,474.70","1,554.40","122,298.80",,"119,740.10","89,328.70","30,446.70",,"38,640.80",,"117,984.40"
4- 6.,"114,276.20","63,602.10","62,270.60","52,709.30","6,496.90","17,815.40","2,304.90","19,846.00","8,516.80",-17.9,"-2,553.20","11,083.30","13,636.50","-1,734.90",,"4,871.20","119,147.40","1,367.70","2,899.30","1,531.60","120,515.10",,"118,152.00","90,040.90","28,061.90",,"32,516.60",,"112,031.00"
7- 9.,"117,462.30","65,996.00","64,674.30","55,055.90","6,770.20","19,720.00",-634.4,"19,608.60","10,242.60",-71.3,"-2,410.00","11,409.60","13,819.70","-1,759.40",,"4,877.40","122,339.60","1,617.00","2,985.10","1,368.20","123,956.60",,"121,270.30","91,855.10","29,390.20",,"36,351.70",,"117,973.70"
10-12.,"123,914.10","66,522.20","65,030.70","55,367.40","6,497.90","18,584.00","2,987.30","20,030.20","14,260.20",-93.2,"-2,216.20","11,484.40","13,700.60","-2,658.40",,"4,866.00","128,780.10","1,230.50","2,236.00","1,005.40","130,010.60",,"127,859.90","94,389.50","33,554.50",,"38,523.20",,"121,109.80"
1999/ 1- 3.,"114,854.90","64,825.30","63,935.10","54,224.80","6,088.30","19,861.20","-4,721.80","20,209.80","13,007.00",17.7,"-2,807.10","11,014.30","13,821.50","-1,625.50",,"5,024.90","119,879.80","1,517.00","2,745.90","1,229.00","121,396.80",,"118,968.50","86,462.70","32,651.50",,"38,392.50",,"118,923.20"
4- 6.,"114,143.00","64,285.40","62,861.80","53,091.50","6,557.40","16,751.30","1,115.40","20,516.30","9,686.80",-48.8,"-2,931.20","11,053.50","13,984.70","-1,789.50",,"4,961.80","119,104.80","1,506.20","2,513.50","1,007.30","120,611.00",,"118,309.30","88,510.80","29,823.80",,"32,487.10",,"113,033.90"
7- 9.,"117,744.70","66,619.80","65,182.00","55,341.40","7,055.30","18,727.50","-1,460.20","20,404.30","10,792.30",-41.2,"-2,699.50","11,836.70","14,536.20","-1,653.60",,"4,881.80","122,626.50","1,626.70","2,524.80",898.1,"124,253.20",,"121,641.30","90,933.30","30,738.70",,"36,039.50",,"118,951.00"
10-12.,"122,890.50","67,356.70","65,792.60","55,889.30","6,630.30","18,235.50","1,543.60","20,753.50","13,441.20",-74.6,"-2,873.30","12,359.80","15,233.10","-2,122.40",,"4,948.10","127,838.50","1,411.00","2,239.30",828.3,"129,249.50",,"127,002.70","93,575.90","33,525.20",,"37,523.20",,"121,430.80"
2000/ 1- 3.,"118,542.00","66,229.70","65,216.70","55,259.40","6,337.10","21,051.60","-4,332.70","20,992.70","11,815.10",98.1,"-2,359.10","12,500.80","14,859.90","-1,290.50",,"4,564.80","123,106.80","1,872.70","2,935.10","1,062.40","124,979.50",,"122,024.10","89,728.10","32,401.20",,"38,804.90",,"122,159.50"
