実質原系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円)
"Real, Original Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,
10-12.,"130,213.90","72,007.00","70,403.80","58,839.00","5,763.20","19,890.90","3,361.90","23,498.10","7,207.60",13.2,"-1,412.70","19,798.70","21,211.40",-115.4,,579.2,"130,793.10","2,292.70","3,775.60","1,482.90","133,085.80",,"131,805.70","101,100.80","30,680.00",,"32,809.40",,"126,695.40"
2009/ 1- 3.,"120,833.60","70,101.40","68,993.90","57,378.70","5,003.80","21,234.20","-3,671.70","23,576.50","7,785.00",-3.5,"-2,930.90","14,418.10","17,349.00",-261.1,,"1,909.40","122,742.90","3,540.90","4,359.50",818.6,"126,283.90",,"123,896.80","92,603.10","31,302.90",,"34,009.00",,"124,580.70"
4- 6.,"119,604.10","69,528.80","68,217.30","56,560.30","4,377.00","16,738.70",368.5,"23,885.80","5,609.40",4.3,-968.6,"15,458.10","16,426.70",60.3,,"1,578.90","121,183.00","2,971.20","4,292.90","1,321.80","124,154.20",,"120,602.90","91,081.60","29,517.80",,"26,721.40",,"119,136.80"
7- 9.,"122,185.00","71,808.30","70,250.60","58,572.50","4,360.40","18,003.20","-1,762.40","23,782.40","6,287.50",-22.2,-246.3,"17,304.80","17,551.10",-25.9,,"1,305.10","123,490.00","3,578.60","4,329.60",751,"127,068.60",,"122,464.70","92,425.00","30,036.50",,"28,652.80",,"123,960.20"
10-12.,"127,992.40","73,333.10","71,684.20","59,981.30","4,293.60","17,462.90",218.5,"24,207.70","7,958.80",11.2,543.8,"18,845.30","18,301.50",-37.2,,"1,251.50","129,243.90","2,416.00","3,445.40","1,029.40","131,659.80",,"127,487.30","95,367.80","32,126.60",,"29,658.60",,"127,695.60"
2010/ 1- 3.,"126,094.10","72,006.70","70,804.70","59,057.80","4,316.00","20,030.20","-3,646.50","23,999.30","8,335.70",38.2,"1,121.60","19,482.60","18,361.00",-106.9,,953.8,"127,047.90","3,959.70","4,692.40",732.7,"131,007.70",,"125,083.80","92,795.60","32,299.20",,"32,654.40",,"129,580.90"
4- 6.,"123,771.70","71,155.40","69,778.20","57,984.40","4,180.60","16,392.10","1,177.10","24,414.90","5,313.90",-0.2,"1,172.70","20,266.30","19,093.60",-34.8,,537.8,"124,309.50","3,010.40","4,457.60","1,447.20","127,319.90",,"122,669.40","92,893.30","29,773.50",,"25,892.20",,"122,640.30"
7- 9.,"129,016.10","74,252.00","72,639.40","60,834.80","4,526.60","18,309.00",475.9,"24,161.50","6,078.50",-59.8,"1,388.20","21,186.90","19,798.80",-115.8,,575.6,"129,591.80","4,022.60","4,806.20",783.6,"133,614.30",,"127,746.80","97,550.50","30,187.80",,"28,919.30",,"128,640.20"
10-12.,"131,838.10","73,994.10","72,298.70","60,444.40","4,771.70","17,986.80","2,042.60","24,663.40","7,309.20",-5.2,"1,272.20","21,505.00","20,232.80",-196.8,,486.3,"132,324.40","2,706.40","3,955.00","1,248.60","135,030.80",,"130,684.70","98,751.00","31,932.10",,"30,024.30",,"129,876.60"
2011/ 1- 3.,"127,438.70","71,097.00","69,825.70","57,924.20","4,709.00","21,005.70","-2,373.30","24,817.60","7,472.30",-1.3,839.1,"20,875.20","20,036.10",-127.2,,-283.1,"127,155.70","4,318.40","5,116.80",798.5,"131,474.00",,"126,660.50","94,406.30","32,249.90",,"33,187.70",,"129,852.90"
4- 6.,"122,702.00","70,463.00","68,914.10","57,016.20","4,413.30","16,640.50","1,475.60","24,890.20","5,189.50",2.5,-480.7,"19,249.50","19,730.20",108.2,,"-1,122.30","121,579.70","3,516.70","4,899.90","1,383.20","125,096.40",,"123,129.20","92,990.60","30,138.20",,"26,246.10",,"121,241.60"
7- 9.,"128,611.80","73,463.30","71,688.40","59,774.70","4,925.40","18,729.00",433.3,"24,619.30","5,895.80",-7.4,545.8,"21,301.00","20,755.20",7.3,,"-1,283.50","127,328.20","4,269.20","5,052.60",783.4,"131,597.50",,"128,081.20","97,551.40","30,532.20",,"29,554.20",,"128,184.30"
10-12.,"132,089.10","74,856.40","72,994.00","61,049.10","4,969.80","19,229.70","1,451.80","25,075.20","6,925.70",2.2,-486.5,"20,916.50","21,403.00",64.8,,"-1,232.00","130,857.10","2,677.60","3,878.10","1,200.50","133,534.70",,"132,516.80","100,526.10","31,992.60",,"31,110.30",,"130,618.50"
2012/ 1- 3.,"131,283.80","73,543.90","72,161.30","60,162.50","4,675.50","22,023.70","-1,673.50","25,383.00","7,581.90",8.4,-201.2,"21,167.50","21,368.70",-57.9,,"-1,393.20","129,890.60","3,993.50","4,781.90",788.4,"133,884.10",,"131,464.80","98,516.50","32,943.20",,"34,292.20",,"133,020.80"
4- 6.,"126,139.50","72,429.30","70,774.00","58,715.00","4,554.60","17,695.50","1,408.20","25,246.20","5,209.50",13.9,-511.4,"21,025.60","21,537.00",93.7,,"-1,567.80","124,571.70","3,279.50","4,838.60","1,559.10","127,851.20",,"126,649.80","96,124.70","30,527.70",,"27,470.40",,"124,684.30"
7- 9.,"128,442.30","74,211.60","72,340.40","60,252.70","4,979.50","19,256.00",351.6,"24,948.50","6,050.00",5.4,"-1,467.80","20,401.50","21,869.30",107.5,,"-1,107.70","127,334.50","4,135.80","4,914.00",778.2,"131,470.30",,"129,817.10","98,795.50","31,026.00",,"30,289.70",,"128,087.90"
10-12.,"131,998.80","75,575.30","73,596.80","61,474.80","5,247.60","18,995.80","1,112.50","25,497.70","7,157.30",4.8,"-1,749.20","19,867.70","21,617.00",157.1,,"-1,110.90","130,887.90","2,786.00","4,167.50","1,381.50","133,673.80",,"133,582.40","100,936.90","32,645.70",,"31,375.30",,"130,865.20"
2013/ 1- 3.,"131,338.80","75,075.60","73,570.00","61,401.00","5,052.50","21,811.20","-2,462.10","25,565.90","7,457.60",-20.6,"-1,204.10","20,209.90","21,414.00",62.8,,"-1,412.30","129,926.50","4,511.50","5,470.40",958.9,"134,438.00",,"132,411.70","99,436.10","32,972.40",,"34,327.00",,"133,896.40"
4- 6.,"128,463.50","74,363.60","72,704.90","60,480.10","4,837.80","18,114.60",800.3,"25,774.40","5,248.60",6.5,-778.2,"20,903.00","21,681.20",95.8,,"-1,494.90","126,968.70","4,735.00","6,704.40","1,969.40","131,703.70",,"129,194.10","98,115.00","31,081.90",,"28,207.00",,"127,658.30"
7- 9.,"132,360.30","76,453.10","74,584.60","62,322.30","5,392.40","20,102.90",-89.8,"25,395.70","6,615.60",-31.2,"-1,555.60","20,921.30","22,476.90",77.3,,"-1,567.80","130,792.60","5,239.80","6,527.10","1,287.30","136,032.40",,"133,808.30","101,835.60","31,976.80",,"32,103.60",,"132,508.30"
10-12.,"136,085.50","77,575.80","75,592.20","63,309.90","5,763.80","20,011.10","1,105.40","25,832.80","8,133.10",18.1,"-2,461.30","21,096.40","23,557.60",106.8,,"-1,725.40","134,360.10","3,471.10","5,342.50","1,871.40","137,831.20",,"138,399.10","104,447.50","33,951.10",,"33,865.80",,"134,939.60"
2014/ 1- 3.,"135,163.00","77,602.70","76,060.60","63,774.20","5,555.70","23,724.50","-3,172.40","26,085.50","8,073.90",37.4,"-2,603.40","22,165.50","24,769.00",-140.8,,"-2,053.10","133,109.80","5,122.60","6,485.70","1,363.20","138,232.40",,"137,761.40","103,578.90","34,180.50",,"37,348.20",,"138,467.80"
4- 6.,"128,341.90","72,409.00","70,899.60","58,565.20","4,829.60","18,586.80","2,142.80","25,817.90","5,297.60",11,-845.7,"22,315.60","23,161.30",93,,"-1,939.80","126,402.10","4,170.00","6,658.40","2,488.40","130,572.10",,"129,199.60","98,038.20","31,163.40",,"28,720.30",,"126,083.70"
7- 9.,"130,927.00","74,628.90","72,945.30","60,620.30","4,924.70","20,442.10",-9,"25,606.30","6,544.70",29,"-1,218.80","22,658.30","23,877.10",-20.9,,"-2,003.00","128,924.00","5,820.60","7,306.40","1,485.80","134,744.60",,"132,187.40","99,988.20","32,200.00",,"31,916.50",,"130,897.60"
10-12.,"135,380.80","76,076.10","74,233.60","61,911.30","5,086.30","20,386.00",713.8,"26,045.90","7,915.00",-6.2,-807.2,"23,757.10","24,564.20",-28.8,,"-1,525.90","133,854.90","4,319.50","6,801.70","2,482.30","138,174.40",,"136,228.30","102,289.30","33,936.90",,"33,373.30",,"134,640.00"
2015/ 1- 3.,"135,545.50","74,827.60","73,464.90","61,133.90","4,957.50","24,786.60","-2,613.60","26,517.50","7,668.00",46.7,-556.4,"23,912.40","24,468.70",-88.3,,-254.9,"135,290.70","5,697.60","7,257.10","1,559.50","140,988.30",,"136,120.30","101,879.80","34,237.80",,"37,407.70",,"138,207.20"
4- 6.,"131,367.00","73,746.00","72,085.80","59,745.00","4,813.80","19,521.80","2,189.30","26,318.70","5,219.80",-32.5,-498.4,"22,799.40","23,297.90",88.5,,-241.2,"131,125.70","5,028.20","7,785.10","2,756.90","136,154.00",,"131,839.60","100,332.00","31,509.30",,"29,557.50",,"129,131.40"
7- 9.,"133,748.40","75,309.90","73,478.90","61,134.30","5,200.30","21,578.00",243.6,"26,060.00","6,227.00",-27.6,-829.1,"23,374.80","24,203.90",-13.5,,79.8,"133,828.30","6,250.30","7,999.10","1,748.80","140,078.60",,"134,585.20","102,328.60","32,258.10",,"33,008.20",,"133,543.10"
10-12.,"137,420.30","76,181.40","74,177.90","61,828.40","5,334.60","21,432.70","1,312.80","26,653.70","7,614.50",-26.5,"-1,096.10","23,728.80","24,825.00",13.4,,419.7,"137,840.00","4,229.40","7,020.50","2,791.20","142,069.40",,"138,516.30","104,281.60","34,234.00",,"34,381.10",,"136,107.50"
2016/ 1- 3.,"136,877.80","74,761.10","73,212.10","60,856.60","5,066.80","24,557.50","-2,335.20","27,229.20","8,019.60",26.6,-459.1,"23,713.70","24,172.70",11.3,,"1,604.60","138,482.40","5,710.00","7,440.10","1,730.00","144,192.40",,"137,334.90","102,062.10","35,272.00",,"37,643.40",,"139,170.70"
4- 6.,"131,994.90","73,106.30","71,380.80","59,019.70","4,975.20","19,724.60","2,286.00","26,742.40","5,395.30",-63.3,-177.3,"23,060.40","23,237.70",5.7,,"1,323.90","133,318.80","4,334.10","7,480.70","3,146.60","137,652.90",,"132,170.40","100,096.00","32,074.20",,"30,094.80",,"129,767.30"
7- 9.,"134,430.30","74,651.80","72,719.60","60,352.30","5,451.30","21,447.70",17.5,"26,454.70","6,393.20",-68,84.6,"23,613.50","23,528.90",-2.5,,"1,260.00","135,690.30","5,610.00","7,534.40","1,924.40","141,300.30",,"134,345.60","101,564.40","32,781.40",,"33,292.30",,"134,485.90"
10-12.,"138,834.50","76,265.40","74,139.00","61,765.70","5,599.10","21,707.50",738,"26,827.20","7,574.70",-90.6,227.6,"24,946.10","24,718.50",-14.5,,"1,055.30","139,889.80","3,433.10","6,416.60","2,983.40","143,322.90",,"138,610.60","104,298.00","34,313.50",,"34,881.90",,"138,202.30"
2017/ 1- 3.,"138,219.40","75,106.30","73,437.00","61,058.30","5,269.60","24,912.40","-2,713.30","27,163.20","7,855.40",-59.3,642.7,"25,211.60","24,568.90",42.3,,503.5,"138,722.90","5,919.40","7,912.50","1,993.10","144,642.30",,"137,620.90","102,664.70","34,953.80",,"38,033.90",,"140,864.70"
4- 6.,"133,903.70","74,416.00","72,680.20","60,295.90","5,095.70","20,230.70","1,496.10","26,788.80","5,594.30",17,312.9,"24,587.10","24,274.20",-47.9,,364.4,"134,268.00","4,450.50","7,858.10","3,407.60","138,718.50",,"133,589.70","101,192.80","32,397.90",,"30,920.80",,"132,463.40"
7- 9.,"137,179.60","75,273.70","73,328.90","60,937.70","5,448.90","21,987.50",563.3,"26,507.40","6,401.70",18.4,"1,097.50","25,258.00","24,160.50",-118.9,,553.4,"137,733.00","6,359.90","8,348.80","1,988.90","144,092.90",,"136,179.50","103,258.30","32,922.90",,"33,838.60",,"136,623.70"
10-12.,"141,917.30","77,132.90","74,998.50","62,599.80","5,380.20","22,369.90","1,894.80","26,885.80","7,556.20",21.3,769.7,"26,587.10","25,817.40",-93.6,,183.3,"142,100.60","3,789.20","7,044.10","3,254.90","145,889.80",,"141,179.50","106,724.70","34,456.20",,"35,307.70",,"140,074.60"
2018/ 1- 3.,"140,173.00","75,363.80","73,719.00","61,318.20","4,986.90","25,697.40","-2,092.50","27,312.20","7,842.70",22.4,"1,096.70","26,532.70","25,436.10",-56.6,,-133.7,"140,039.30","5,721.00","8,030.40","2,309.40","145,760.40",,"139,122.30","103,947.10","35,177.30",,"38,513.70",,"142,240.20"
4- 6.,"135,690.40","74,497.90","72,950.80","60,546.00","4,642.30","21,053.80","1,803.60","27,094.10","5,679.60",-13.1,"1,013.50","26,084.90","25,071.40",-81.4,,-517.9,"135,172.40","4,906.40","8,648.40","3,742.10","140,078.80",,"134,715.80","101,968.90","32,747.90",,"31,367.10",,"133,936.30"
7- 9.,"137,133.00","75,600.20","73,821.40","61,407.60","5,020.10","21,977.40",508.1,"26,727.60","6,529.60",-8.9,834,"25,790.70","24,956.80",-55.2,,-986.1,"136,146.80","6,522.20","8,832.70","2,310.50","142,669.10",,"136,343.50","103,101.40","33,241.50",,"33,523.90",,"136,640.10"
10-12.,"141,770.20","77,163.90","75,202.80","62,778.50","5,178.50","22,811.50","1,882.00","27,296.40","7,530.80",-11.6,-68.5,"27,056.90","27,125.40",-12.9,,"-1,090.00","140,680.10","4,021.60","7,644.30","3,622.70","144,701.70",,"141,836.70","107,021.20","34,814.20",,"35,522.10",,"139,917.40"
2019/ 1- 3.,"139,938.50","75,095.70","73,615.80","61,192.60","5,061.90","25,843.90","-1,969.60","27,561.20","7,887.90",-37,521.8,"26,067.00","25,545.20",-27.3,,-450.7,"139,487.90","6,125.30","8,455.90","2,330.60","145,613.20",,"139,437.00","104,024.50","35,412.90",,"38,777.10",,"141,965.00"
4- 6.,"135,667.80","74,537.20","72,834.90","60,410.50","4,934.50","20,755.00","2,097.40","27,608.10","5,791.10",-3.4,3.2,"25,592.00","25,588.80",-55.2,,-692.6,"134,975.30","5,002.30","8,885.00","3,882.70","139,977.50",,"135,682.80","102,311.50","33,371.70",,"31,476.50",,"133,585.20"
7- 9.,"137,939.60","76,035.00","74,116.10","61,679.50","5,342.80","22,803.80",67.9,"27,423.70","6,654.90",-21.3,-347.6,"25,726.20","26,073.80",-19.7,,-534.3,"137,405.30","6,728.00","9,234.00","2,506.00","144,133.30",,"138,288.60","104,244.70","34,044.20",,"34,800.30",,"137,911.70"
10-12.,"138,989.50","75,070.50","72,948.80","60,513.60","5,310.40","21,530.40","1,280.40","27,896.20","7,772.00",4.7,146.2,"26,541.90","26,395.70",-21.2,,-356.1,"138,633.40","3,794.40","7,413.80","3,619.40","142,427.90",,"138,862.50","103,182.60","35,679.80",,"34,634.10",,"137,720.80"
2020/ 1- 3.,"137,520.30","73,976.90","72,317.70","59,883.30","4,834.80","25,384.80","-2,542.80","28,045.90","7,864.00",11.6,-155.5,"24,730.00","24,885.40",100.6,,-248.7,"137,271.60","6,107.90","8,346.30","2,238.40","143,379.50",,"137,636.20","101,702.90","35,932.70",,"38,062.30",,"139,998.30"
4- 6.,"122,496.50","67,334.30","65,347.50","52,956.40","4,662.00","19,135.20","1,510.00","28,043.50","6,105.60",-18,"-4,528.70","19,986.10","24,514.80",252.7,,"1,151.80","123,648.30","4,071.20","7,409.80","3,338.70","127,719.50",,"126,712.20","92,614.30","34,097.00",,"29,911.90",,"121,039.60"
7- 9.,"131,077.80","71,502.90","69,303.20","56,879.20","4,752.90","20,529.80",-332.9,"28,204.30","6,972.50",-21.6,-592.8,"21,955.50","22,548.30",62.7,,"1,023.80","132,101.60","5,572.50","7,666.80","2,094.30","137,674.10",,"131,601.00","96,458.40","35,142.20",,"32,267.90",,"131,436.90"
10-12.,"138,406.80","74,563.60","72,149.60","59,700.10","4,822.10","21,285.90",296.9,"28,833.80","8,187.90",-39.1,513,"25,161.10","24,648.10",-57.3,,"1,174.20","139,580.90","3,832.00","6,578.60","2,746.60","143,412.90",,"137,944.50","100,949.20","36,995.40",,"34,325.00",,"138,178.40"
2021/ 1- 3.,"136,648.80","71,853.80","69,905.00","57,468.60","4,670.40","24,410.70","-1,844.10","28,933.80","8,182.00",-15.5,485.4,"25,244.90","24,759.50",-27.5,,232.3,"136,881.10","6,123.90","8,251.40","2,127.50","143,005.10",,"136,254.90","99,141.50","37,117.90",,"37,247.30",,"138,435.80"
4- 6.,"132,354.90","71,254.60","69,463.10","57,024.60","4,589.90","20,283.20","1,426.70","29,401.80","5,819.70",3.6,-311,"25,448.90","25,759.80",-113.6,,-410.1,"131,944.80","6,472.30","10,048.50","3,576.10","138,417.10",,"132,619.40","97,462.50","35,155.90",,"30,678.80",,"131,036.90"
7- 9.,"134,149.00","71,257.90","69,172.20","56,730.20","4,857.50","21,325.10",647.1,"29,253.60","6,691.80",-24.6,244.6,"25,391.90","25,147.30",-104.2,,"-1,360.30","132,788.60","7,692.10","9,983.00","2,290.90","140,480.70",,"133,933.00","98,047.30","35,886.40",,"32,874.80",,"133,580.70"
10-12.,"140,627.20","75,126.40","72,916.40","60,438.00","4,898.60","21,795.90","1,150.80","29,356.40","7,692.20",16.7,721.8,"26,681.10","25,959.30",-131.5,,"-2,338.40","138,288.80","5,518.90","9,041.70","3,522.80","143,807.70",,"139,980.30","102,913.80","37,064.30",,"34,405.90",,"139,529.50"
2022/ 1- 3.,"137,910.70","72,665.30","70,829.30","58,365.80","4,634.70","25,017.70","-1,036.10","29,651.10","7,374.20",16.5,-270.3,"26,372.70","26,643.00",-142.3,,"-2,597.30","135,313.40","8,495.00","11,067.20","2,572.20","143,808.30",,"138,222.10","101,196.80","37,025.50",,"36,958.70",,"139,019.10"
4- 6.,"134,254.00","73,140.00","71,432.60","58,957.70","4,378.40","20,576.90","1,755.00","29,755.00","5,216.60",18,-364.4,"26,323.90","26,688.30",-221.4,,"-3,766.70","130,487.20","7,247.30","11,567.70","4,320.40","137,734.50",,"134,683.40","99,806.90","34,867.20",,"30,131.40",,"132,484.30"
7- 9.,"135,837.10","73,926.00","71,946.80","59,460.40","4,690.40","22,315.90",775.9,"29,284.40","6,095.40",-69.2,-989.8,"27,017.50","28,007.30",-191.8,,"-4,720.40","131,116.70","9,539.70","12,472.90","2,933.20","140,656.40",,"136,903.40","101,668.50","35,223.90",,"33,065.20",,"135,172.10"
10-12.,"141,000.60","75,772.10","73,687.00","61,176.20","4,792.10","22,495.70",931.7,"29,875.90","7,164.00",44.7,76,"28,752.10","28,676.10",-151.5,,"-4,538.40","136,462.20","7,548.60","12,032.70","4,484.10","144,010.80",,"141,045.50","103,960.60","37,080.80",,"34,443.50",,"140,019.80"
2023/ 1- 3.,"140,879.30","75,058.80","73,307.50","60,794.80","4,603.60","25,881.30","-1,140.70","30,037.20","7,577.80",28.8,-898.1,"26,944.70","27,842.70",-269.4,,"-3,415.90","137,463.40","8,422.60","12,262.20","3,839.60","145,886.00",,"141,823.30","104,156.20","37,671.90",,"37,963.30",,"142,295.40"
4- 6.,"136,173.60","73,493.10","71,685.10","59,191.30","4,534.20","20,580.00","1,638.30","29,424.90","5,440.10",8.3,964.9,"27,285.70","26,320.70",89.8,,"-2,603.70","133,569.90","7,822.00","13,864.60","6,042.60","141,391.90",,"135,055.40","100,292.80","34,743.20",,"30,537.10",,"134,395.80"
7- 9.,"137,049.80","73,890.60","71,820.20","59,318.10","4,796.10","21,720.30",149.9,"29,218.60","6,210.30",-16.7,"1,097.00","27,803.40","26,706.40",-16.3,,"-2,084.30","134,965.60","9,770.00","14,143.70","4,373.70","144,735.60",,"135,822.70","100,476.50","35,335.80",,"32,720.40",,"137,024.60"
10-12.,"141,735.20","75,534.60","73,362.60","60,830.20","4,814.80","22,672.60",170.9,"29,579.80","7,167.30",19.3,"1,765.50","29,977.20","28,211.80",10.6,,"-2,412.00","139,323.20","6,656.10","12,459.10","5,803.00","145,979.40",,"139,888.90","103,104.20","36,782.90",,"34,647.00",,"141,628.70"
2024/ 1- 3.,"139,696.80","73,855.60","71,993.10","59,486.70","4,450.10","25,541.40","-1,370.10","29,801.80","7,144.30",15.5,401.9,"27,322.70","26,920.80",-143.8,,"-2,068.50","137,628.40","9,121.10","13,897.70","4,776.50","146,749.50",,"139,197.50","102,237.60","36,968.60",,"37,047.40",,"141,353.30"
4- 6.,"135,198.70","73,111.30","71,287.20","58,791.80","4,407.00","21,002.70","1,161.70","29,901.00","5,408.10",-7,400.5,"27,588.70","27,188.20",-186.6,,"-2,019.70","133,179.00","8,669.20","15,665.80","6,996.60","141,848.20",,"134,812.60","99,663.10","35,139.50",,"30,773.10",,"134,006.70"
7- 9.,"138,085.70","74,567.30","72,488.70","59,963.00","4,733.60","22,238.70",559.2,"29,582.90","6,280.50",-6,285,"28,229.40","27,944.40",-155.4,,"-1,885.80","136,200.00","11,014.00","16,066.20","5,052.20","147,213.90",,"137,835.30","102,040.90","35,780.20",,"33,223.50",,"137,583.20"
10-12.,"143,436.50","76,290.30","74,110.80","61,545.90","4,773.80","22,892.70",129.6,"30,068.90","7,192.00",-13,"2,041.10","30,129.70","28,088.60",61.2,,"-1,745.00","141,691.50","6,825.70","13,048.80","6,223.10","148,517.10",,"141,211.90","103,975.00","37,238.80",,"34,842.10",,"143,439.60"
2025/ 1- 3.,"142,008.50","75,012.90","73,141.50","60,598.40","4,604.40","26,268.10",-710.1,"30,023.90","7,287.70",30.8,-267.2,"28,398.10","28,665.30",-242,,"-1,524.80","140,483.70","10,127.50","15,131.40","5,003.90","150,611.20",,"142,405.70","105,035.50","37,365.30",,"38,072.70",,"142,904.10"
4- 6.,"137,462.40","73,951.00","72,059.60","59,541.40","4,516.20","21,396.30","1,910.80","29,848.70","5,370.80",-44.6,688,"28,927.20","28,239.20",-174.9,,"-1,296.10","136,166.30","7,996.60","14,998.20","7,001.60","144,162.90",,"136,838.30","101,840.00","34,959.40",,"31,232.50",,"135,474.90"
＊開差＝国内総生産(支出側)−国内総生産(支出側)の内訳項目計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊財貨・サービスの純輸出は連鎖方式での計算ができないため、財貨・サービスの輸出−財貨・サービスの輸入により求めている。このため寄与度とは符号が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
