2007,,,,,,,,,,,,,,,,,,,,,,,,
,,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl, from Ashalt onward is Ton)",,
,,,,,,,,,,,,,,,,,,,,,,,"Year, Quarter & Month",
,,年 月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,液化石油ガス,,,液化天然ガス,,
,,,,,,,,,燃料油,,,,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,
,,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,
,21,,,9,,"17,624,194","5,229,644","3,931,154","494,974","1,071,014","3,058,698","3,838,710","1,624,523","2,214,187","167,559","284,605","6,554","5,469","1,119,278","619,543","499,735","5,412,002",Sep.,21
,22,,,10,,"18,287,523","5,033,754","4,051,875","511,032","1,566,920","3,144,071","3,979,871","1,762,470","2,217,401","175,662","294,992","7,253","5,259","1,263,507","789,408","474,099","6,566,473",Oct.,22
,23,,,11,,"18,884,787","4,836,423","4,208,826","515,553","2,375,823","3,117,447","3,830,715","1,814,023","2,016,692","173,554","306,200","6,859","5,416","1,314,622","902,626","411,996","6,034,217",Nov.,23
,24,,,12,,"20,825,692","5,076,661","4,459,147","572,935","3,225,537","3,045,624","4,445,788","2,034,513","2,411,275","168,336","331,647","6,657","5,320","1,606,389","1,166,311","440,078","6,168,502",Dec.,24
,,,,,,,,,,,,,,,,,,,,,,,,
,25,平成,20年,1月,,"20,150,145","4,581,020","4,411,087","420,365","3,432,192","2,646,879","4,658,602","2,022,996","2,635,606","151,779","210,520","5,456","5,048","1,413,503","1,083,804","329,699","6,128,802",Jan. 2008,25
,26,,,2,,"20,118,599","4,542,062","4,003,484","479,001","3,739,978","2,927,716","4,426,358","2,210,209","2,216,149","154,451","288,643","6,202","5,965","1,564,916","1,165,550","399,366","6,048,739",Feb.,26
,27,,,3,,"18,393,349","4,455,699","3,894,880","581,769","2,239,861","2,970,153","4,250,987","1,988,151","2,262,836","183,198","388,242","6,780","5,369","1,431,583","1,049,822","381,761","6,858,402",Mar.,27
,,,,,,,,,,,,,,,,,,,,,,,,
,,注： Ｐ・Ｐ＝プロパン・プロピレン、Ｐ・Ｂ＝プロパン・ブタン、プロピレン・ブチレン等プロパン、プロピレンを主成分とするもの。,,,,,,,,,,,,,Note : P・P is Propane・Propylene; P・B is Propane・Butane ; B・B is Butane・Butylene.,,,,,,,,,
,,Ｂ・Ｂ＝ブタン・ブチレンを主成分とするもの。,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,
,,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl, from Ashalt onward is Ton)",,
,,,,,,,,,,,,,,,,,,,,,,,"Year, Quarter & Month",
,,年 月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,液化石油ガス,,,液化天然ガス,,
,,,,,,,,,燃料油,,,,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,
,,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,
,1,平成,16年,,,"236,269,121","61,220,197","48,413,668","4,838,050","27,410,848","38,078,816","56,307,542","29,189,483","27,118,059","2,070,171","3,769,841","67,078","64,470","16,323,674","10,753,304","5,570,370","50,225,262",C.Y. 2004,1
,2,,17,,,"238,279,985","61,615,686","49,540,512","4,904,989","29,538,869","37,449,416","55,230,513","28,647,773","26,582,740","2,045,538","3,443,232","67,535","61,126","16,300,976","10,801,415","5,499,561","50,963,337",C.Y. 2005,2
,3,,18,,,"228,938,568","60,840,334","49,647,042","5,431,666","26,322,908","36,778,726","49,917,892","25,278,643","24,639,249","2,061,152","3,319,958","69,466","60,934","16,759,040","11,226,496","5,532,544","61,822,704",C.Y. 2006,3
,4,,19,,,"219,231,819","59,827,439","49,309,650","5,829,121","23,006,328","35,937,542","45,321,739","21,676,033","23,645,706","1,944,865","3,384,361","78,382","60,334","16,307,572","10,593,967","5,713,605","71,452,956",C.Y. 2007,4
,5,,20,,,"207,739,397","57,315,952","45,329,589","5,760,721","20,972,251","34,246,289","44,114,595","19,093,641","25,020,954","1,888,509","2,835,708","72,048","57,948","16,245,086","11,086,148","5,158,938","72,335,275",C.Y. 2008,5
,,,,,,,,,,,,,,,,,,,,,,,,
,6,平成,19年度,,,"218,486,682","59,063,631","48,532,946","5,915,882","22,665,924","35,585,563","46,722,736","21,369,007","25,353,729","1,938,421","3,253,432","79,235","63,989","16,322,207","10,820,853","5,501,354","72,856,167",F.Y. 2007,6
,7,,20,,,"201,042,094","57,472,827","42,873,166","5,675,532","20,249,878","33,722,434","41,048,257","17,890,549","23,157,708","1,749,997","2,734,519","64,338","51,117","15,825,291","10,797,199","5,028,092","71,509,270",F.Y. 2008,7
,,,,,,,,,,,,,,,,,,,,,,,,
,8,平成,20年,1～ 3月,,"58,670,213","13,566,301","12,294,337","1,481,163","9,405,674","8,573,750","13,348,988","6,221,308","7,127,680","489,228","887,405","19,210","16,382","4,410,002","3,299,176","1,110,826","19,035,962",Q1 2008,8
,9,,,4～ 6,,"49,966,610","14,783,719","11,039,963","1,365,057","3,372,706","8,755,684","10,649,481","4,498,579","6,150,902","498,043","625,712","19,563","15,052","4,020,717","2,628,283","1,392,434","17,690,827",Q2,9
,10,,,7～ 9,,"46,867,449","14,320,246","11,209,761","1,475,383","1,758,900","8,245,217","9,857,942","3,776,190","6,081,752","471,190","671,294","17,915","14,441","3,613,071","2,204,234","1,408,837","18,484,290",Q3,10
,11,,,10～12,,"52,235,125","14,645,686","10,785,528","1,439,118","6,434,971","8,671,638","10,258,184","4,597,564","5,660,620","430,048","651,297","15,360","12,073","4,201,296","2,954,455","1,246,841","17,124,196",Q4,11
,12,平成,21年,1～ 3月,,"51,972,910","13,723,176","9,837,914","1,395,974","8,683,301","8,049,895","10,282,650","5,018,216","5,264,434","350,716","786,216","11,500","9,551","3,990,207","3,010,227","979,980","18,209,957",Q1 2009,12
,,,,,,,,,,,,,,,,,,,,,,,,
,13,平成,20年,1月,,"20,169,654","4,581,020","4,407,281","420,421","3,425,859","2,665,881","4,669,192","2,022,996","2,646,196","151,436","210,520","6,228","5,048","1,413,503","1,083,804","329,699","6,128,802",Jan. 2008,13
,14,,,2,,"20,117,351","4,542,062","3,997,264","478,973","3,739,978","2,932,716","4,426,358","2,210,209","2,216,149","154,451","288,643","6,202","5,965","1,564,916","1,165,550","399,366","6,109,127",Feb.,14
,15,,,3,,"18,383,208","4,443,219","3,889,792","581,769","2,239,837","2,975,153","4,253,438","1,988,103","2,265,335","183,341","388,242","6,780","5,369","1,431,583","1,049,822","381,761","6,798,033",Mar.,15
,16,,,4,,"18,177,623","5,766,944","3,629,468","411,678","1,489,996","3,095,926","3,783,611","1,613,343","2,170,268","163,403","199,802","6,570","4,990","1,413,982","936,289","477,693","6,053,351",Apr.,16
,17,,,5,,"16,395,858","4,615,302","3,839,275","438,846","1,107,763","2,910,618","3,484,054","1,482,076","2,001,978","164,749","196,065","6,594","3,726","1,375,610","905,672","469,938","5,514,134",May,17
,18,,,6,,"15,393,129","4,401,473","3,571,220","514,533","774,947","2,749,140","3,381,816","1,403,160","1,978,656","169,891","229,845","6,399","6,336","1,231,125","786,322","444,803","6,123,342",Jun.,18
,19,,,7,,"16,225,917","4,860,298","3,850,770","503,709","683,525","2,917,812","3,409,803","1,376,721","2,033,082","164,481","193,908","6,343","5,301","1,269,021","757,884","511,137","6,381,348",Jul.,19
,20,,,8,,"15,148,854","4,689,965","3,890,630","503,630","408,876","2,441,056","3,214,697","1,089,871","2,124,826","134,997","199,848","5,409","4,839","1,200,781","726,342","474,439","5,913,960",Aug.,20
,21,,,9,,"15,492,678","4,769,983","3,468,361","468,044","666,499","2,886,349","3,233,442","1,309,598","1,923,844","171,712","277,538","6,163","4,301","1,143,269","720,008","423,261","6,188,982",Sep.,21
,22,,,10,,"15,882,793","4,683,426","3,697,920","504,727","962,900","2,891,743","3,142,077","1,352,350","1,789,727","152,114","206,564","5,938","4,081","1,347,489","865,583","481,906","5,208,220",Oct.,22
